Launching Calculator...
Listing ButtonControls by foundIndex (1-50)...
Index 1: Name='ナビゲーションを開く', AutomationId='TogglePaneButton'
Index 2: Name='履歴のポップアップを開く', AutomationId='HistoryButton'
Index 3: Name='角度切り替え', AutomationId='degButton'
Index 4: Name='すべてのメモリをクリア', AutomationId='ClearMemoryButton'
Index 5: Name='メモリ呼び出し', AutomationId='MemRecall'
Index 6: Name='メモリ加算', AutomationId='MemPlus'
Index 7: Name='メモリ減算', AutomationId='MemMinus'
Index 8: Name='メモリ保存', AutomationId='memButton'
Index 9: Name='メモリのポップアップを開く', AutomationId='MemoryButton'
Index 10: Name='パイ', AutomationId='piButton'
Index 11: Name='オイラー数', AutomationId='eulerButton'
Index 12: Name='クリア', AutomationId='clearButton'
Index 13: Name='バックスペース', AutomationId='backSpaceButton'
Index 14: Name='2 乗', AutomationId='xpower2Button'
Index 15: Name='平方根算出', AutomationId='squareRootButton'
Index 16: Name='"X" を指数に', AutomationId='powerButton'
Index 17: Name='10 を指数に', AutomationId='powerOf10Button'
Index 18: Name='ログ', AutomationId='logBase10Button'
Index 19: Name='自然対数', AutomationId='logBaseEButton'
Index 20: Name='逆数', AutomationId='invertButton'
Index 21: Name='絶対値', AutomationId='absButton'
Index 22: Name='指数近似曲線', AutomationId='expButton'
Index 23: Name='剰余', AutomationId='modButton'
Index 24: Name='始め丸かっこ', AutomationId='openParenthesisButton'
Index 25: Name='終わり丸かっこ', AutomationId='closeParenthesisButton'
Index 26: Name='階乗', AutomationId='factorialButton'
Index 27: Name='除算', AutomationId='divideButton'
Index 28: Name='乗算', AutomationId='multiplyButton'
Index 29: Name='マイナス', AutomationId='minusButton'
Index 30: Name='プラス', AutomationId='plusButton'
Index 31: Name='等号', AutomationId='equalButton'
Index 32: Name='正負', AutomationId='negateButton'
Index 33: Name='0', AutomationId='num0Button'
Index 34: Name='1', AutomationId='num1Button'
Index 35: Name='2', AutomationId='num2Button'
Index 36: Name='3', AutomationId='num3Button'
Index 37: Name='4', AutomationId='num4Button'
Index 38: Name='5', AutomationId='num5Button'
Index 39: Name='6', AutomationId='num6Button'
Index 40: Name='7', AutomationId='num7Button'
Index 41: Name='8', AutomationId='num8Button'
Index 42: Name='9', AutomationId='num9Button'
Index 43: Name='小数点', AutomationId='decimalSeparatorButton'
Index 44: Not found
